"item" "roi" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "PB" "IC" "SC"
"238" 13 17 1 "के" 0.5 18820 25348 1 1 2 15 0 2
"239" 13 18 3 "चलते" 0.5 92 469 56 5 4 18 1 1
"240" 13 19 3 "बिपाशा" 1 8 8 2 NA 6 19 0 1
"241" 13 20 3 "फ़िल्म" 2 NA NA NA NA 6 20 0 1
"242" 13 21 5 "फ़ेसटीवल" 1 NA NA NA NA 8 20 0 1
"243" 13 22 1 "में" 1 12692 25348 NA NA 3 20 0 1
"244" 13 23 2 "बिना" 1 88 72 4 NA 4 23 0 2
"245" 13 24 2 "भाग" 0 76 114 1 1 3 23 0 1
"246" 13 25 2 "लिए" 1 2612 2527 1 NA 3 23 3 1
"247" 13 26 3 "वापस" 0 132 132 1 NA 4 26 0 1
"248" 13 27 2 "लौट" 0 29 3304 5 1 3 26 35 0
"249" 13 28 2 "गई" 0 1045 7560 1 53 2 26 0 0
"250" 13 29 1 "।" 0 19415 18846 298 1871 1 26 0 0
"251" 14 1 5 "गौरतलब" 0 136 136 NA NA 6 1 0 1
"252" 14 2 1 "है" 0.5 10733 14482 135 135 2 2 0 2
"253" 14 3 1 "कि" 1 6478 25348 1852 1 2 3 0 1
"254" 14 4 3 "बिपाशा" 1 8 8 1 NA 6 4 0 1
"255" 14 5 1 "को" 0 8766 25348 1 2 2 4 0 1
"256" 14 6 1 "ही" 0 1862 1863 52 59 2 4 0 1
"257" 14 7 2 "यहां" 0.5 319 566 2 7 4 7 0 1
"258" 14 8 3 "प्रोग्राम" 2 8 9 NA NA 9 8 0 1
"259" 14 9 1 "में" 1 12692 25348 3 3 3 8 0 1
"260" 14 10 2 "दिया" 1 1306 3918 4 2 4 10 0 1
"261" 14 11 3 "जलाना" 0 1 16 NA NA 5 11 11 0
"262" 14 12 1 "था" 0 1470 3255 NA NA 2 11 0 0
"263" 14 13 2 "और" 0 5122 5122 69 145 2 13 0 1
"264" 14 14 3 "उसके" 0.5 260 6262 49 353 4 14 0 2
"265" 14 15 2 "बाद" 0 1294 1294 38 41 3 14 0 1
"266" 14 16 2 "पूरे" 1 133 566 3 3 4 16 0 1
"267" 14 17 3 "प्रोग्राम" 2 8 9 1 1 9 16 0 1
"268" 14 18 1 "में" 1 12692 25348 3 3 3 16 0 1
"269" 14 19 4 "शिरकत" 1 21 21 16 NA 5 20 0 1
